created_at,entry_id,field1,field2,field3,field4,field5
2021-01-04 02:35:04 UTC,1276,26.00,0.57,214.32,210.44,0.00
2021-01-04 02:45:29 UTC,1277,26.00,0.57,214.09,210.22,0.00
2021-01-04 02:55:54 UTC,1278,26.00,0.57,214.09,210.22,0.00
2021-01-04 03:06:19 UTC,1279,26.00,0.57,213.78,209.92,0.00
2021-01-04 03:16:44 UTC,1280,26.00,0.57,213.43,209.57,0.00
2021-01-04 03:27:09 UTC,1281,26.00,0.56,213.05,209.20,0.00
2021-01-04 03:37:34 UTC,1282,26.00,0.56,212.86,209.01,0.00
2021-01-04 03:48:00 UTC,1283,26.00,0.56,212.27,208.43,0.00
2021-01-04 03:58:25 UTC,1284,26.00,0.56,212.01,208.18,0.00
2021-01-04 04:08:50 UTC,1285,26.00,0.56,211.81,207.98,0.00
2021-01-04 04:19:15 UTC,1286,0.00,0.56,211.13,-12.38,0.00
2021-01-04 04:29:40 UTC,1287,0.00,0.56,210.52,-12.34,0.00
2021-01-04 04:40:05 UTC,1288,0.00,0.56,210.02,-12.31,0.00
2021-01-04 04:50:30 UTC,1289,0.00,0.55,209.56,-12.28,0.00
2021-01-04 05:00:55 UTC,1290,0.00,0.55,209.15,-12.26,0.00
2021-01-04 05:11:21 UTC,1291,0.00,0.55,208.88,-12.24,0.00
2021-01-04 05:21:46 UTC,1292,0.00,0.55,208.21,-12.20,0.00
2021-01-04 05:32:11 UTC,1293,0.00,0.55,207.84,-12.17,0.00
2021-01-04 05:42:36 UTC,1294,0.00,0.55,207.91,-12.18,0.00
2021-01-04 05:53:01 UTC,1295,0.00,0.55,208.51,-12.22,0.00
2021-01-04 06:03:26 UTC,1296,0.00,0.55,208.30,-12.20,0.00
2021-01-04 06:13:51 UTC,1297,0.00,0.55,208.58,-12.22,0.00
2021-01-04 06:24:17 UTC,1298,0.00,0.55,208.47,-12.21,0.00
2021-01-04 06:34:42 UTC,1299,0.00,0.55,208.63,-12.22,0.00
2021-01-04 06:45:07 UTC,1300,0.00,0.55,208.63,-12.22,0.00
2021-01-04 06:55:32 UTC,1301,0.00,0.55,208.35,-12.21,0.00
2021-01-04 07:05:57 UTC,1302,0.00,0.55,208.34,-12.20,0.00
2021-01-04 07:16:22 UTC,1303,0.00,0.55,208.25,-12.20,0.00
2021-01-04 07:26:47 UTC,1304,0.00,0.55,208.21,-12.20,0.00
2021-01-04 07:37:12 UTC,1305,0.00,0.55,207.54,-12.15,0.00
2021-01-04 07:47:37 UTC,1306,0.00,0.55,206.51,-12.09,0.00
2021-01-04 07:58:02 UTC,1307,0.00,0.54,205.18,-12.00,0.00
2021-01-04 08:08:27 UTC,1308,0.00,0.54,204.60,-11.96,0.00
2021-01-04 08:18:52 UTC,1309,0.00,0.54,203.78,-11.91,0.00
2021-01-04 08:29:18 UTC,1310,0.00,0.54,203.19,-11.87,0.00
2021-01-04 08:39:43 UTC,1311,0.00,0.54,203.62,-11.90,0.00
2021-01-04 08:50:09 UTC,1312,0.00,0.54,204.58,-11.96,0.00
2021-01-04 09:00:34 UTC,1313,0.00,0.54,204.82,-11.98,0.00
2021-01-04 09:10:59 UTC,1314,0.00,0.54,205.50,-12.02,0.00
2021-01-04 09:21:24 UTC,1315,0.00,0.54,205.77,-12.04,0.00
2021-01-04 09:31:49 UTC,1316,0.00,0.54,206.13,-12.06,0.00
2021-01-04 09:42:14 UTC,1317,0.00,0.55,207.11,-12.13,0.00
2021-01-04 09:52:39 UTC,1318,0.00,0.54,206.40,-12.08,0.00
2021-01-04 10:03:04 UTC,1319,0.00,0.54,206.39,-12.08,0.00
2021-01-04 10:13:29 UTC,1320,0.00,0.55,206.68,-12.10,0.00
2021-01-04 10:23:55 UTC,1321,0.00,0.55,206.93,-12.11,0.00
2021-01-04 10:34:20 UTC,1322,0.00,0.55,207.11,-12.13,0.00
2021-01-04 10:44:45 UTC,1323,0.00,0.55,207.13,-12.13,0.00
