created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
1970-01-01 05:40:00 IST,1,22.75,0.00,0.00,0.00,13.12,,,,
1970-01-01 05:50:01 IST,2,22.31,0.00,0.26,0.28,12.73,,,,
2020-12-17 00:29:38 IST,3,22.13,0.18,72.43,76.64,3.74,,,,
2020-12-17 00:39:39 IST,4,22.19,0.18,72.72,76.85,3.79,,,,
2020-12-17 00:49:42 IST,5,22.25,0.18,72.45,76.47,3.84,,,,
2020-12-17 00:59:46 IST,6,22.31,0.18,72.01,75.91,3.84,,,,
2020-12-17 01:09:50 IST,7,22.31,0.18,72.68,76.61,3.89,,,,
2020-12-17 01:19:55 IST,8,22.44,0.18,72.71,76.45,3.94,,,,
2020-12-17 01:29:56 IST,9,22.50,0.20,82.11,86.21,3.60,,,,
2020-12-17 01:39:57 IST,10,22.50,0.20,82.32,86.43,4.00,,,,
2020-12-17 01:49:58 IST,11,22.56,0.19,78.13,81.94,3.66,,,,
2020-12-17 02:00:01 IST,12,22.62,0.18,74.61,78.16,3.69,,,,
2020-12-17 02:10:04 IST,13,22.62,0.18,73.99,77.50,3.74,,,,
2020-12-17 02:20:07 IST,14,22.62,0.18,73.49,76.98,4.15,,,,
2020-12-17 02:30:12 IST,15,22.62,0.20,82.31,86.20,4.20,,,,
2020-12-17 02:40:12 IST,16,22.69,0.20,82.49,86.28,4.25,,,,
2020-12-17 02:50:13 IST,17,22.75,0.20,82.50,86.18,4.25,,,,
2020-12-17 03:00:14 IST,18,22.75,0.20,82.82,86.51,4.30,,,,
2020-12-17 03:10:16 IST,19,22.75,0.20,82.41,86.09,4.35,,,,
2020-12-17 03:20:20 IST,20,22.81,0.20,82.25,85.82,4.40,,,,
2020-12-17 03:30:23 IST,21,22.81,0.20,82.55,86.13,4.40,,,,
2020-12-17 03:40:26 IST,22,22.81,0.21,83.44,87.05,4.45,,,,
2020-12-17 03:50:30 IST,23,22.81,0.21,83.30,86.91,4.50,,,,
2020-12-17 04:00:35 IST,24,22.81,0.21,83.68,87.30,4.56,,,,
2020-12-17 04:10:36 IST,25,22.81,0.21,83.44,87.05,4.56,,,,
2020-12-17 04:21:55 IST,26,22.87,0.20,80.63,84.03,3.59,,,,
2020-12-17 04:31:57 IST,27,22.19,0.20,81.44,86.04,3.69,,,,
2020-12-17 04:42:00 IST,28,22.25,0.20,81.49,85.99,3.74,,,,
2020-12-17 04:52:02 IST,29,22.31,0.20,81.59,85.98,3.38,,,,
2020-12-17 05:02:06 IST,30,22.31,0.20,81.32,85.70,3.43,,,,
2020-12-17 05:12:10 IST,31,22.37,0.20,81.61,85.89,3.89,,,,
2020-12-17 05:22:15 IST,32,22.44,0.20,81.97,86.16,3.94,,,,
2020-12-17 05:32:16 IST,33,22.44,0.20,82.36,86.58,4.00,,,,
2020-12-17 05:42:16 IST,34,22.50,0.20,82.21,86.31,4.05,,,,
2020-12-17 05:52:19 IST,35,22.56,0.20,82.38,86.38,4.10,,,,
2020-12-17 06:02:21 IST,36,22.56,0.20,82.50,86.50,4.15,,,,
2020-12-17 06:12:23 IST,37,22.62,0.20,82.24,86.12,3.79,,,,
2020-12-17 06:30:15 IST,38,22.19,0.20,80.81,85.38,3.69,,,,
2020-12-17 06:40:16 IST,39,22.19,0.20,81.47,86.07,3.74,,,,
2020-12-17 06:50:19 IST,40,22.25,0.20,81.42,85.91,3.79,,,,
2020-12-17 07:00:23 IST,41,22.31,0.20,81.00,85.36,3.89,,,,
2020-12-17 07:10:28 IST,42,22.37,0.20,81.32,85.59,3.94,,,,
2020-12-17 07:20:33 IST,43,22.37,0.20,81.69,85.98,4.00,,,,
2020-12-17 07:30:33 IST,44,22.44,0.20,82.13,86.33,4.05,,,,
2020-12-17 07:40:34 IST,45,22.44,0.20,81.92,86.11,4.10,,,,
2020-12-17 07:50:36 IST,46,22.44,0.20,82.33,86.54,4.15,,,,
2020-12-17 08:00:38 IST,47,22.50,0.20,82.41,86.52,4.20,,,,
2020-12-17 08:10:41 IST,48,22.50,0.20,82.26,86.36,4.25,,,,
2020-12-17 08:20:45 IST,49,22.56,0.21,83.10,87.13,4.30,,,,
2020-12-17 08:30:49 IST,50,22.56,0.20,82.30,86.30,4.35,,,,
2020-12-17 08:40:54 IST,51,22.56,0.20,82.27,86.26,4.40,,,,
2020-12-17 08:50:55 IST,52,22.62,0.20,83.07,86.99,4.45,,,,
2020-12-17 09:00:56 IST,53,22.62,0.21,83.13,87.05,4.50,,,,
2020-12-17 09:10:58 IST,54,22.62,0.20,82.76,86.66,4.56,,,,
2020-12-17 09:21:01 IST,55,22.69,0.20,82.36,86.15,4.61,,,,
2020-12-17 09:31:03 IST,56,22.69,0.20,82.76,86.56,4.61,,,,
