,Time_Stamp,Temperature,TDS_VOltage,TDSwithoutT,TDSwithT
560,2020-12-29 12:55:18-05:00,25.94,0.54,205.39,201.91
561,2020-12-29 13:07:40-05:00,25.94,0.54,205.53,202.05
562,2020-12-29 13:20:04-05:00,25.94,0.54,204.76,201.29
563,2020-12-29 13:32:25-05:00,26.0,0.54,203.27,199.6
564,2020-12-29 13:44:47-05:00,26.0,0.54,203.15,199.48
565,2020-12-29 13:57:10-05:00,26.0,0.53,202.12,198.47
566,2020-12-29 14:09:33-05:00,25.94,0.53,202.95,199.51
567,2020-12-29 14:21:54-05:00,26.0,0.54,203.82,200.14
568,2020-12-29 14:34:17-05:00,26.0,0.54,204.16,200.48
569,2020-12-29 14:46:39-05:00,26.0,0.54,204.43,200.74
570,2020-12-29 14:59:03-05:00,26.0,0.54,204.61,200.91
571,2020-12-29 15:11:25-05:00,25.94,0.54,204.75,201.28
572,2020-12-29 15:23:48-05:00,25.94,0.54,205.6,202.11
573,2020-12-29 15:36:10-05:00,25.94,0.54,205.24,201.76
574,2020-12-29 15:48:34-05:00,26.0,0.54,205.27,201.56
575,2020-12-29 16:00:55-05:00,26.0,0.54,205.38,201.67
576,2020-12-29 16:13:17-05:00,26.0,0.54,206.07,202.34
577,2020-12-29 16:25:39-05:00,26.0,0.54,206.14,202.42
578,2020-12-29 16:38:03-05:00,26.0,0.54,206.11,202.39
579,2020-12-29 16:50:24-05:00,26.0,0.54,206.13,202.41
580,2020-12-29 17:02:47-05:00,26.0,0.54,206.35,202.62
581,2020-12-29 17:15:09-05:00,26.0,0.55,206.51,202.78
582,2020-12-29 17:27:33-05:00,26.0,0.55,206.78,203.04
583,2020-12-29 17:39:53-05:00,26.0,0.55,206.79,203.05
584,2020-12-29 17:52:15-05:00,26.0,0.55,207.24,203.49
585,2020-12-29 18:04:38-05:00,26.0,0.55,207.13,203.39
586,2020-12-29 18:17:02-05:00,26.0,0.55,207.36,203.61
587,2020-12-29 18:29:23-05:00,25.94,0.55,207.34,203.82
588,2020-12-29 18:41:47-05:00,26.0,0.55,207.76,204.01
589,2020-12-29 18:54:09-05:00,26.0,0.55,207.35,203.6
590,2020-12-29 19:06:33-05:00,25.94,0.55,207.77,204.25
591,2020-12-29 19:18:54-05:00,25.94,0.55,207.82,204.29
592,2020-12-29 19:31:16-05:00,25.94,0.55,207.39,203.87
593,2020-12-29 19:43:39-05:00,25.94,0.55,207.96,204.43
594,2020-12-29 19:56:03-05:00,25.94,0.55,207.8,204.28
595,2020-12-29 20:08:23-05:00,26.0,0.55,208.23,204.47
596,2020-12-29 20:20:46-05:00,26.0,0.55,208.4,204.63
597,2020-12-29 20:33:08-05:00,26.0,0.55,208.43,204.67
598,2020-12-29 20:45:32-05:00,26.0,0.55,208.51,204.74
599,2020-12-29 20:57:53-05:00,25.94,0.55,208.75,205.21
600,2020-12-29 21:10:15-05:00,25.94,0.55,208.58,205.04
601,2020-12-29 21:22:37-05:00,25.88,0.55,208.69,205.38
602,2020-12-29 21:35:01-05:00,25.94,0.55,209.17,205.63
603,2020-12-29 21:47:22-05:00,26.0,0.55,208.98,205.2
604,2020-12-29 21:59:44-05:00,26.0,0.55,209.47,205.69
605,2020-12-29 22:12:06-05:00,26.0,0.55,209.58,205.79
606,2020-12-29 22:24:30-05:00,26.0,0.55,209.64,205.85
607,2020-12-29 22:36:51-05:00,26.0,0.55,209.63,205.85
608,2020-12-29 22:49:14-05:00,26.0,0.55,209.86,206.07
609,2020-12-29 23:01:36-05:00,26.0,0.56,209.97,206.18
610,2020-12-29 23:14:00-05:00,26.06,0.56,210.12,206.09
611,2020-12-29 23:26:20-05:00,26.0,0.56,211.11,207.3
612,2020-12-29 23:38:44-05:00,26.06,0.56,211.19,207.14
613,2020-12-29 23:51:06-05:00,26.06,0.56,211.19,207.14
614,2020-12-30 00:03:30-05:00,26.06,0.56,211.23,207.18
615,2020-12-30 00:15:51-05:00,26.06,0.56,211.39,207.34
616,2020-12-30 00:28:14-05:00,26.06,0.56,211.65,207.59
