created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2020-12-23 17:21:20 IST,1,23.56,0.00,0.00,0.00,0.00,,,,
2020-12-23 18:39:28 IST,2,0.00,0.00,0.00,0.00,0.03,,,,
2020-12-23 18:44:40 IST,3,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 00:58:12 IST,4,20.62,0.20,81.82,89.23,3.33,,,,
2020-12-24 01:10:33 IST,5,20.62,0.20,81.40,88.78,3.33,,,,
2020-12-24 01:22:54 IST,6,20.62,0.20,82.21,89.66,3.74,,,,
2020-12-24 01:35:15 IST,7,20.62,0.20,81.83,89.25,3.38,,,,
2020-12-24 01:47:35 IST,8,20.62,0.20,82.14,89.58,3.33,,,,
2020-12-24 01:59:57 IST,9,20.62,0.20,82.09,89.54,3.74,,,,
2020-12-24 02:12:17 IST,10,20.62,0.20,83.02,90.55,3.33,,,,
2020-12-24 02:24:38 IST,11,20.56,0.20,81.64,89.16,3.33,,,,
2020-12-24 02:36:59 IST,12,20.19,0.20,81.23,89.40,3.28,,,,
2020-12-24 02:49:20 IST,13,20.19,0.20,81.17,89.35,3.28,,,,
2020-12-24 03:01:41 IST,14,20.19,0.20,81.27,89.45,3.33,,,,
2020-12-24 03:38:49 IST,15,20.25,0.20,81.58,89.67,3.74,,,,
2020-12-24 03:51:10 IST,16,20.25,0.20,81.35,89.42,3.79,,,,
2020-12-24 04:03:31 IST,17,20.25,0.20,81.55,89.64,3.38,,,,
2020-12-24 04:15:52 IST,18,20.25,0.20,81.37,89.45,3.38,,,,
2020-12-24 04:28:13 IST,19,20.25,0.20,80.98,89.02,3.33,,,,
2020-12-24 04:40:33 IST,20,20.19,0.20,81.43,89.63,3.33,,,,
2020-12-24 04:52:54 IST,21,20.25,0.20,80.78,88.80,3.43,,,,
2020-12-24 05:05:15 IST,22,20.25,0.21,84.30,92.66,3.69,,,,
2020-12-24 05:17:36 IST,23,20.12,0.20,80.74,88.99,3.33,,,,
2020-12-24 05:29:57 IST,24,19.56,0.20,80.34,89.61,3.69,,,,
2020-12-24 05:42:18 IST,25,19.50,0.20,80.01,89.36,3.74,,,,
2020-12-24 15:40:27 IST,26,0.00000,0.00000,0.00000,,,,,,
2020-12-24 15:40:47 IST,27,0.00000,0.00000,0.00000,,,,,,
2020-12-24 15:41:08 IST,28,0.00000,0.00000,0.00000,,,,,,
1970-01-01 05:30:00 IST,29,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 15:50:17 IST,30,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 15:51:41 IST,31,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 15:55:00 IST,32,25.50,0.00,0.00,0.00,0.00,,,,
2020-12-24 15:56:27 IST,33,26.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 15:57:52 IST,34,26.25,0.00,0.00,0.00,0.00,,,,
2020-12-24 15:59:18 IST,35,26.25,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:00:44 IST,36,26.37,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:02:11 IST,37,26.50,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:03:35 IST,38,26.44,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:05:00 IST,39,26.50,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:06:26 IST,40,26.56,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:07:51 IST,41,26.62,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:09:16 IST,42,26.75,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:23:39 IST,43,85.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:25:06 IST,44,26.50,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:25:48 IST,45,26.50,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:27:27 IST,46,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:28:09 IST,47,26.12,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:28:56 IST,48,26.12,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:29:43 IST,49,26.12,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:30:30 IST,50,26.12,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:31:16 IST,51,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:32:03 IST,52,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:32:50 IST,53,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:33:37 IST,54,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:34:24 IST,55,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:35:11 IST,56,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:35:59 IST,57,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:37:28 IST,58,26.06,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:38:11 IST,59,26.06,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:38:53 IST,60,26.06,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:39:41 IST,61,26.06,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:40:28 IST,62,26.06,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:41:15 IST,63,26.06,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:42:02 IST,64,26.06,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:42:50 IST,65,26.06,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:43:37 IST,66,26.12,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:44:24 IST,67,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:45:56 IST,68,26.25,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:46:38 IST,69,26.25,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:48:06 IST,70,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:48:50 IST,71,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:49:32 IST,72,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:50:18 IST,73,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:51:05 IST,74,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:51:53 IST,75,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:52:40 IST,76,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:53:27 IST,77,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:54:14 IST,78,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:55:01 IST,79,26.31,0.00,0.00,0.00,0.00,,,,
2020-12-24 16:59:56 IST,80,26.19,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:00:41 IST,81,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:02:03 IST,82,26.12,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:02:48 IST,83,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:03:31 IST,84,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:04:18 IST,85,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:05:05 IST,86,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:07:01 IST,87,25.94,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:07:46 IST,88,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:09:38 IST,89,26.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:10:23 IST,90,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:11:05 IST,91,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:11:52 IST,92,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:12:38 IST,93,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:13:25 IST,94,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:14:12 IST,95,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:14:59 IST,96,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:16:50 IST,97,26.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:17:35 IST,98,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:18:29 IST,99,0.00000,0.00000,0.00000,,,,,,
2020-12-24 17:18:17 IST,100,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:19:03 IST,101,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:19:51 IST,102,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:20:38 IST,103,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:21:24 IST,104,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:22:11 IST,105,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:23:46 IST,106,25.88,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:24:32 IST,107,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:25:16 IST,108,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:25:59 IST,109,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:26:54 IST,110,0.00000,0.00000,0.00000,,,,,,
2020-12-24 17:27:15 IST,111,0.00000,0.00000,0.00000,,,,,,
2020-12-24 17:26:43 IST,112,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:28:14 IST,113,0.00000,0.00000,0.00000,,,,,,
2020-12-24 17:28:40 IST,114,0.00000,0.00000,0.00000,,,,,,
2020-12-24 17:29:01 IST,115,0.00000,0.00000,0.00000,,,,,,
2020-12-24 17:27:26 IST,116,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:28:09 IST,117,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:28:52 IST,118,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:31:36 IST,119,0.00000,0.00000,0.00000,,,,,,
2020-12-24 17:31:57 IST,120,0.00000,0.00000,0.00000,,,,,,
2020-12-24 17:32:37 IST,121,0.00000,0.00000,0.00000,,,,,,
2020-12-24 17:29:36 IST,122,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:30:19 IST,123,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:31:02 IST,124,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:36:51 IST,125,25.75,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:37:34 IST,126,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:38:16 IST,127,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:38:58 IST,128,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:39:40 IST,129,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:40:22 IST,130,25.75,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:41:04 IST,131,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:41:50 IST,132,0.00,0.00,0.00,0.00,0.00,,,,
2020-12-24 17:42:34 IST,133,0.00,0.00,0.00,0.00,0.00,,,,
