S. NO,Temperature,AverageVoltage,CompensatedVoltage,TDSwithoutComp,TDSSensor,Meter-1 (Sachin Sir),Meter-2 (Aftab Sir),TDSMeter,"RO-1(SPCRC ,TDS= 130)",Tap Water(324),RO-2(Himalaya 70),Distilled,Theoritical Value
1,50,0.201465,0.13431,81.72009036,55,81,94,87.5,,,1,0,70
2,48,0.191795,0.131366438,77.98626639,54,91,91,91,,,1,0,70
3,45,0.178095,0.127210714,72.66760472,53,92,94,93,,,1,0,70
4,42,0.163597,0.122087313,67.00139033,51,87,89,88,,,1,0,70
5,40,0.155311,0.11947,63.74510282,50,88,89,88.5,,,1,0,70
6,38,0.147473,0.117042063,60.65263752,49,87,89,88,,,1,0,70
7,35,0.136996,0.114163333,56.50004219,48,85,86,85.5,,,1,0,70
8,32,0.124908,0.109568421,51.68147561,46,81,83,82,,,1,0,70
9,30,0.119267,0.108424545,49.42258662,45,81,78,79.5,,,1,0,70
10,28,0.114432,0.107954717,47.48118514,45,77,79,78,,,1,0,70
11,25,0.107179,0.107179,44.5596597,45,76,78,77,,,1,0,70
12,50,0.170842,0.113894667,69.83786001,47,78,76,77,,,1,0.25,56
13,48,0.16359,0.112047945,66.99864497,47,80,82,81,,,1,0.25,56
14,45,0.149084,0.106488571,61.28923491,44,79,81,80,,,1,0.25,56
15,42,0.137082,0.1023,56.53421778,43,76,68,72,,,1,0.25,56
16,40,0.128132,0.098563077,52.96955166,41,67,72,69.5,,,1,0.25,56
17,38,0.120073,0.095296032,49.7457461,40,67,73,70,,,1,0.25,56
18,35,0.108791,0.090659167,45.20993996,38,73,67,70,,,1,0.25,56
19,32,0.100733,0.088362281,41.95379789,37,67,69,68,,,1,0.25,56
20,30,0.091062,0.082783636,38.02736525,35,66,66,66,,,1,0.25,56
21,28,0.088645,0.083627358,37.04287049,35,67,67,67,,,1,0.25,56
22,25,0.077363,0.077363,32.43035399,32,60,66,63,,,1,0.25,56
23,50,0.12652,0.084346667,52.32578027,35,60,72,66,,,1,0.5,46.66666667
24,48,0.11685,0.080034247,48.45269764,34,57,58,57.5,,,1,0.5,46.66666667
25,45,0.105568,0.075405714,43.90922996,32,65,58,61.5,,,1,0.5,46.66666667
26,42,0.096703,0.072166418,40.32008587,30,57,54,55.5,,,1,0.5,46.66666667
27,40,0.090256,0.069427692,37.69920728,29,55,57,56,,,1,0.5,46.66666667
28,38,0.083004,0.06587619,34.74015449,28,65,58,61.5,,,1,0.5,46.66666667
29,35,0.074945,0.062454167,31.43807697,25,61,58,59.5,,,1,0.5,46.66666667
30,32,0.068498,0.060085965,28.78594561,25,57,60,58.5,,,1,0.5,46.66666667
31,30,0.0344,0.031272727,14.59843636,25,58,53,55.5,,,1,0.5,46.66666667
32,28,0.06044,0.057018868,25.45772703,24,57,55,56,,,1,0.5,46.66666667
33,25,0.051575,0.051575,21.77880515,22,49,54,51.5,,,1,0.5,46.66666667
34,50,0.078974,0.052649333,33.09073142,22,56,46,51,,,1,0.75,40
35,48,0.074139,0.050780137,31.10702479,21,49,45,47,,,1,0.75,40
36,45,0.064469,0.046049286,27.12370355,19,46,45,45.5,,,1,0.75,40
37,42,0.05641,0.042097015,23.78757497,18,45,47,46,,,1,0.75,40
38,40,0.051575,0.039673077,21.77880515,17,45,45,45,,,1,0.75,40
39,38,0.047546,0.037734921,20.10070131,16,47,45,46,,,1,0.75,40
40,35,0.039487,0.032905833,16.73251532,14,45,46,45.5,,,1,0.75,40
41,32,0.03304,0.028982456,14.02683518,12,45,45,45,,,1,0.75,40
42,30,0.026593,0.024175455,11.31107018,10,44,39,41.5,,,1,0.75,40
43,28,0.022564,0.021286792,9.608706826,9,45,42,43.5,,,1,0.75,40
44,25,0.015311,0.015311,6.533998377,7,40,44,42,,,1,0.75,40
45,50,0.058022,0.038681333,24.45608897,16,40,46,43,,,1,1,35
46,48,0.053187,0.036429452,22.44914237,15,43,39,41,,,1,1,35
47,45,0.047546,0.033961429,20.10070131,14,45,40,42.5,,,1,1,35
48,42,0.038681,0.028866418,16.39480076,12,44,45,44.5,,,1,1,35
49,40,0.037875,0.029134615,16.05693005,12,40,44,42,,,1,1,35
50,38,0.033846,0.026861905,14.36564704,11,43,40,41.5,,,1,1,35
51,35,0.024982,0.020818333,10.63085743,9,40,41,40.5,,,1,1,35
52,32,0.018535,0.016258772,7.902336741,7,41,41,41,,,1,1,35
53,30,0.0137,0.012454545,5.849281853,5,38,40,39,,,1,1,35
54,28,0.011282,0.010643396,4.820349405,5,38,40,39,,,1,1,35
55,25,0,0,0,0,35,39,37,,,1,1,35
56,50,0.051575,0.034383333,21.77880515,15,39,46,42.5,,,1,1.25,31.11111111
57,48,0.045934,0.031461644,19.42821786,13,43,39,41,,,1,1.25,31.11111111
58,45,0.038681,0.027629286,16.39480076,12,39,43,41,,,1,1.25,31.11111111
59,42,0.03304,0.024656716,14.02683518,10,37,43,40,,,1,1.25,31.11111111
60,40,0.028205,0.021696154,11.99106816,9,38,41,39.5,,,1,1.25,31.11111111
61,38,0.024982,0.019826984,10.63085743,8,38,39,38.5,,,1,1.25,31.11111111
62,35,0.016923,0.0141025,7.21849119,6,38,39,38.5,,,1,1.25,31.11111111
63,32,0.012894,0.011310526,5.506467304,5,38,38,38,,,1,1.25,31.11111111
64,30,0.005641,0.005128182,2.414209624,2,37,38,37.5,,,1,1.25,31.11111111
65,28,0.001612,0.001520755,0.690724188,1,35,38,36.5,,,1,1.25,31.11111111
66,25,0,0,0,0,31,36,33.5,,,1,1.25,31.11111111
67,50,0.029817,0.019878,12.67043061,8,42,33,37.5,,,1,1.5,28
68,48,0.024176,0.016558904,10.29030056,7,33,39,36,,,1,1.5,28
69,45,0.017729,0.012663571,7.560494769,5,31,35,33,,,1,1.5,28
70,42,0.011282,0.008419403,4.820349405,4,31,34,32.5,,,1,1.5,28
71,40,0.008059,0.006199231,3.446579191,3,31,34,32.5,,,1,1.5,28
72,38,0.004029,0.003197619,1.725139851,1,31,33,32,,,1,1.5,28
73,35,0,0,0,0,31,33,32,,,1,1.5,28
74,32,0,0,0,0,30,31,30.5,,,1,1.5,28
75,30,0,0,0,0,29,30,29.5,,,1,1.5,28
76,28,0,0,0,,30,27,28.5,,,1,1.5,28
77,25,0,0,0,0,25,28,26.5,,,1,1.5,28
78,50,0.014505,0.00967,6.191508724,4,37,30,33.5,,,1,1.75,25.45454545
79,48,0.012894,0.008831507,5.506467304,4,34,29,31.5,,,1,1.75,25.45454545
80,45,0.008864,0.006331429,3.789947417,3,29,32,30.5,,,1,1.75,25.45454545
81,42,0.040259,0.03004403,17.05583763,4,28,30,29,,,1,1.75,25.45454545
82,40,0,0,0,0,27,30,28.5,,,1,1.75,25.45454545
83,38,0,0,0,0,28,29,28.5,,,1,1.75,25.45454545
84,35,0,0,0,0,27,28,27.5,,,1,1.75,25.45454545
85,32,0,0,0,0,27,28,27.5,,,1,1.75,25.45454545
86,30,0,0,0,0,21,27,24,,,1,1.75,25.45454545
87,28,0,0,0,0,24,25,24.5,,,1,1.75,25.45454545
88,25,0,0,0,0,24,25,24.5,,,1,1.75,25.45454545
89,50,0,0,0,0,31,29,30,,,1,2.5,20
90,48,0,0,0,0,29,29,29,,,1,2.5,20
91,45,0,0,0,0,28,25,26.5,,,1,2.5,20
92,42,0,0,0,0,28,26,27,,,1,2.5,20
93,40,0,0,0,0,26,26,26,,,1,2.5,20
94,38,0,0,0,0,25,26,25.5,,,1,2.5,20
95,35,0,0,0,0,24,25,24.5,,,1,2.5,20
96,32,0,0,0,0,23,24,23.5,,,1,2.5,20
97,30,0,0,0,0,23,20,21.5,,,1,2.5,20
98,28,0,0,0,0,19,23,21,,,1,2.5,20
99,25,0,0,0,0,21,21,21,,,1,2.5,20
100,50,,,,,,,0,,,0.25,5,3.333333333
101,48,,,,,,,0,,,0.25,5,3.333333333
102,45,,,,,,,0,,,0.25,5,3.333333333
103,42,,,,,,,0,,,0.25,5,3.333333333
104,40,,,,,,,0,,,0.25,5,3.333333333
105,38,,,,,,,0,,,0.25,5,3.333333333
106,35,,,,,,,0,,,0.25,5,3.333333333
107,32,,,,,,,0,,,0.25,5,3.333333333
108,30,,,,,,,0,,,0.25,5,3.333333333
109,28,,,,,,,0,,,0.25,5,3.333333333
110,25,,,,,,,0,,,0.25,5,3.333333333
111,50,1.450459,0.966972667,556.2283513,360,461,428,444.5,0,1,,,324
112,48,1.413338,0.968039726,538.6817877,359,459,379,419,0,1,,,324
113,45,1.361905,0.972789286,515.0714032,358,413,386,399.5,0,1,,,324
114,42,1.3063,0.974850746,490.4050045,358,392,383,387.5,0,1,,,324
115,40,1.272454,0.978810769,475.7994794,358,382,379,380.5,0,1,,,324
116,38,1.21282,0.962555556,450.7625447,354,379,380,379.5,0,1,,,324
117,35,1.373333,1.144444167,520.2494035,353,371,378,374.5,0,1,,,324
118,32,1.129011,0.990360526,416.936515,364,371,361,366,0,1,,,324
119,30,1.082271,0.983882727,398.6850381,363,372,334,353,0,1,,,324
120,28,1.044396,0.985279245,384.1812981,361,376,308,342,0,1,,,324
121,25,0.971962,0.971962,357.0730955,357,365,305,335,0,1,,,324
122,50,1.346593,0.897728667,508.1926825,330,444,363,403.5,0.25,1,,,285
123,48,1.302271,0.891966438,488.6506406,329,436,363,399.5,0.25,1,,,285
124,45,1.252308,0.894505714,467.2447365,329,432,352,392,0.25,1,,,285
125,42,1.91868,1.431850746,822.7683349,328,416,351,383.5,0.25,1,,,285
126,40,1.159634,0.892026154,429.1241417,328,375,351,363,0.25,1,,,285
127,38,1.14674,0.910111111,423.9693233,327,367,343,355,0.25,1,,,285
128,35,1.094359,0.911965833,403.3664914,325,354,341,347.5,0.25,1,,,285
129,32,1.045201,0.916842982,384.4870658,325,353,341,347,0.25,1,,,285
130,30,1.018608,0.926007273,374.4405623,323,351,329,340,0.25,1,,,285
131,28,0.99685,0.940424528,366.3008746,320,347,327,337,0.25,1,,,285
132,25,0.952527,0.952527,349.9248114,320,335,319,327,0.25,1,,,285
133,50,1.547546,1.031697333,604.2875066,283,358,312,335,0.5,1,,,259
134,48,1.121758,0.768327397,414.077254,284,323,313,318,0.5,1,,,259
135,45,1.070989,0.764992143,394.339125,310,309,283,296,0.5,1,,,259
136,42,1.025861,0.76556791,377.1696884,283,298,308,303,0.5,1,,,259
137,40,0.988791,0.760608462,363.3034127,281,294,307,300.5,0.5,1,,,259
138,38,0.95011,0.754055556,349.039199,279,293,306,299.5,0.5,1,,,259
139,35,0.88967,0.741391667,327.1150486,275,267,303,285,0.5,1,,,259
140,32,0.855018,0.750015789,314.7161185,278,288,303,295.5,0.5,1,,,259
141,30,0.813919,0.739926364,300.1434767,274,268,299,283.5,0.5,1,,,259
142,28,0.780879,0.736678302,288.5153001,273,269,306,287.5,0.5,1,,,259
143,25,0.73011,0.73011,270.7631196,271,305,266,285.5,0.5,1,,,259
144,50,1.070183,0.713455333,394.0294962,265,292,291,291.5,0.75,1,,,240.4285714
